Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,0,6.04792451,135.351434,151.253194,-8.59217195e-08,-4.20727595e-08,7.28600069e-09,-3.6399786e-10,8.14665402e-09,-1.16771004e-09
0.1,1,6.04792451,138.253197,151.253194,-8.28928677e-08,-4.18474748e-08,6.77659129e-09,-3.59284325e-10,7.41676898e-09,-1.1469623e-09
0.1,2,6.04792451,138.253197,154.154956,-7.93017918e-08,-4.18354347e-08,6.09487572e-09,-3.17863846e-10,6.99161307e-09,-1.24800748e-09
0.1,3,6.04792451,135.351434,154.154956,-8.1944691e-08,-4.21117718e-08,6.54859456e-09,-3.40579231e-10,7.66815855e-09,-1.2822029e-09
0.1,4,6.04792451,132.449657,148.351431,-9.39531546e-08,-4.22677076e-08,8.66575256e-09,-3.59004576e-10,9.48546663e-09,-1.0332396e-09
0.1,5,6.04792451,135.351434,148.351431,-9.02120831e-08,-4.20865831e-08,8.08432166e-09,-3.75393827e-10,8.63219807e-09,-1.04463671e-09
0.1,6,6.04792451,132.449657,151.253194,-8.92051517e-08,-4.22872262e-08,7.80275045e-09,-3.66365022e-10,8.93659013e-09,-1.16989274e-09
0.1,7,6.04792451,129.547894,151.253194,-9.27411108e-08,-4.24926654e-08,8.32383584e-09,-3.59983515e-10,9.7878452e-09,-1.15521537e-09
0.1,8,6.04792451,132.449657,154.154956,-8.48049666e-08,-4.23711199e-08,7.00692215e-09,-3.57278152e-10,8.39863912e-09,-1.29879729e-09
0.1,9,6.04792451,129.547894,154.154956,-8.7886761e-08,-4.2611525e-08,7.46604023e-09,-3.69288572e-10,9.18607057e-09,-1.29968092e-09
0.1,10,6.04792451,129.547894,148.351431,-9.79864723e-08,-4.24464623e-08,9.25727228e-09,-3.34369032e-10,1.04131015e-08,-1.00196684e-09
0.1,11,6.04792451,126.646131,151.253194,-9.65388693e-08,-4.26868709e-08,8.84884166e-09,-3.49807738e-10,1.07110587e-08,-1.12119014e-09
0.1,12,6.04792451,126.646131,154.154956,-9.11877009e-08,-4.28336442e-08,7.92558374e-09,-3.7564124e-10,1.00330455e-08,-1.2832152e-09
0.1,13,6.04792451,126.646131,148.351431,-1.02326503e-07,-4.26253202e-08,9.85991644e-09,-3.07993686e-10,1.14141736e-08,-9.51820178e-10
0.1,14,6.04792451,123.744361,154.154956,-9.47100602e-08,-4.30335092e-08,8.38390335e-09,-3.77311765e-10,1.09465148e-08,-1.24829802e-09
0.1,15,6.04792451,126.646131,157.056719,-8.62538698e-08,-4.30615472e-08,7.07282011e-09,-3.8610723e-10,9.39154532e-09,-1.43106826e-09
0.1,16,6.04792451,123.744361,157.056719,-8.92847112e-08,-4.32911378e-08,7.4717601e-09,-4.04392991e-10,1.02312914e-08,-1.41401424e-09
0.1,17,6.04792451,123.744361,142.547891,-1.21300204e-07,-4.29896261e-08,1.29771154e-08,-7.93573471e-11,1.42238585e-08,-4.58340116e-10
0.1,18,6.04792451,126.646131,142.547891,-1.15296494e-07,-4.27826308e-08,1.21715518e-08,-1.56541294e-10,1.29139366e-08,-5.75836434e-10
0.1,19,6.04792451,126.646131,145.449668,-1.08571079e-07,-4.26568647e-08,1.09601537e-08,-2.43150305e-10,1.21484574e-08,-7.68350827e-10
0.1,20,6.04792451,123.744361,145.449668,-1.13861965e-07,-4.2842867e-08,1.1656101e-08,-1.87635643e-10,1.33416487e-08,-6.74792278e-10
0.1,21,6.04792451,120.842598,154.154956,-9.84534054e-08,-4.32129603e-08,8.83931595e-09,-3.76159354e-10,1.19244152e-08,-1.19575205e-09
0.1,22,6.04792451,120.842598,157.056719,-9.25008976e-08,-4.34903811e-08,7.86557841e-09,-4.19190044e-10,1.11319256e-08,-1.37805412e-09
0.1,23,6.04792451,117.940828,154.154956,-1.02417594e-07,-4.33698446e-08,9.28781585e-09,-3.72294529e-10,1.29716797e-08,-1.12641174e-09
0.1,24,6.04792451,117.940828,157.056719,-9.58953024e-08,-4.36565806e-08,8.25175039e-09,-4.30127239e-10,1.20908021e-08,-1.32659117e-09
0.1,25,6.04792451,117.940828,148.351431,-1.1719856e-07,-4.3157435e-08,1.1677697e-08,-1.90690436e-10,1.49429464e-08,-6.72071399e-10
0.1,26,6.04792451,120.842598,148.351431,-1.11927186e-07,-4.2981366e-08,1.10713527e-08,-2.33607189e-10,1.36749136e-08,-7.86842036e-10
0.1,27,6.04792451,120.842598,151.253194,-1.0491722e-07,-4.3040945e-08,9.90196281e-09,-3.17308735e-10,1.27728468e-08,-9.98470306e-10
0.1,28,6.04792451,117.940828,151.253194,-1.09500093e-07,-4.32007177e-08,1.04236699e-08,-2.92950664e-10,1.3921432e-08,-9.08276954e-10
0.1,29,6.04792451,117.940828,142.547891,-1.34615249e-07,-4.3477371e-08,1.46289363e-08,9.45237291e-11,1.72226464e-08,-1.4409253e-10
0.1,30,6.04792451,120.842598,142.547891,-1.27737465e-07,-4.32221832e-08,1.37977931e-08,4.08002104e-12,1.56555426e-08,-3.15377918e-10
