Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,2716,6.04792451,-8.48395471,130.940825,-4.44973324e-07,-6.79370515e-08,2.74186061e-08,5.70498138e-09,1.56421677e-07,2.89305238e-08
0.1,2717,6.04792451,-8.48395471,133.842602,-3.84320714e-07,-5.74872416e-08,2.23660148e-08,4.81497375e-09,1.27430908e-07,2.30158381e-08
0.1,2718,6.04792451,-8.48395471,119.333766,-8.84455972e-07,-1.4822254e-07,6.94038107e-08,1.34660683e-08,4.44938081e-07,8.50328661e-08
0.1,2719,6.04792451,-7.48574222,119.333766,-8.84194662e-07,-1.48031589e-07,7.59787326e-08,1.4598708e-08,4.36015995e-07,8.33236271e-08
0.1,2720,6.04792451,-8.48395471,122.235529,-7.30874945e-07,-1.19764962e-07,5.38277725e-08,1.05375673e-08,3.28749564e-07,6.27531094e-08
0.1,2721,6.04792451,-8.48395471,110.628471,-1.74291324e-06,-3.07797251e-07,1.69952628e-07,3.29695453e-08,1.41461919e-06,2.67098613e-07
0.1,2722,6.04792451,-8.48395471,113.530234,-1.36371216e-06,-2.37408983e-07,1.22838003e-07,2.37329747e-08,9.15478097e-07,1.73879485e-07
0.1,2723,6.04792451,-8.48395471,104.728781,-2.93432277e-06,-5.2660954e-07,3.58070054e-07,7.08600112e-08,4.1467747e-06,7.71019984e-07
0.1,2724,6.04792451,-8.48395471,107.726701,-2.2627778e-06,-4.03764261e-07,2.42445083e-07,4.73916479e-08,2.32467073e-06,4.35802377e-07
0.1,2725,6.04792451,-8.48395471,101.99862,-3.16721457e-06,-5.65745893e-07,6.03022499e-07,1.22452747e-07,7.35127833e-06,1.35480389e-06
0.1,2726,6.04792451,-8.48395471,102.997921,-3.35547111e-06,-6.01713623e-07,5.02221496e-07,1.00901239e-07,5.99658006e-06,1.10866267e-06
0.1,2727,6.04792451,-8.48395471,100.999311,-2.61848027e-06,-4.64896743e-07,6.83801431e-07,1.40018557e-07,8.83365283e-06,1.62346544e-06
