Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,0,7.1841944,138.253197,154.154956,-6.67047999e-08,-3.46134321e-08,6.51374066e-09,-3.57837315e-10,8.07497802e-09,-1.51897328e-09
0.1,1,7.1841944,141.15496,154.154956,-6.47068035e-08,-3.43077033e-08,6.01876948e-09,-3.36731143e-10,7.33919947e-09,-1.47754131e-09
0.1,2,7.1841944,141.15496,157.056719,-6.19289509e-08,-3.42613014e-08,5.33273248e-09,-2.75242773e-10,6.90676494e-09,-1.60877434e-09
0.1,3,7.1841944,138.253197,157.056719,-6.36308215e-08,-3.46231097e-08,5.77442361e-09,-3.16164123e-10,7.58920926e-09,-1.66237646e-09
0.1,4,7.1841944,135.351434,154.154956,-6.88834945e-08,-3.49103928e-08,7.01016489e-09,-3.73982567e-10,8.86443718e-09,-1.53864321e-09
0.1,5,7.1841944,135.351434,157.056719,-6.54869865e-08,-3.49661171e-08,6.21410612e-09,-3.52688212e-10,8.32338998e-09,-1.69700465e-09
0.1,6,7.1841944,132.449657,151.253194,-7.52963842e-08,-3.51672789e-08,8.43552428e-09,-3.72885917e-10,1.03413837e-08,-1.3564998e-09
0.1,7,7.1841944,135.351434,151.253194,-7.25586915e-08,-3.49155833e-08,7.87113397e-09,-3.80883325e-10,9.420841e-09,-1.37465017e-09
0.1,8,7.1841944,132.449657,154.154956,-7.12419137e-08,-3.51919738e-08,7.50845786e-09,-3.8733125e-10,9.71590453e-09,-1.53755186e-09
0.1,9,7.1841944,129.547894,151.253194,-7.82453782e-08,-3.54140468e-08,9.00111186e-09,-3.58510915e-10,1.1331367e-08,-1.31459565e-09
0.1,10,7.1841944,129.547894,154.154956,-7.37772012e-08,-3.54601752e-08,8.00674638e-09,-3.95485616e-10,1.06285585e-08,-1.51380342e-09
0.1,11,7.1841944,129.547894,148.351431,-8.30753564e-08,-3.54529348e-08,1.00876756e-08,-3.01863257e-10,1.20698749e-08,-1.10293852e-09
