Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,13923,6.04792451,66.8630674,-6.00000005,2.31113475e-08,8.09043776e-10,-2.59011124e-08,-3.46024076e-09,-3.44527322e-08,-1.09522995e-08
0.1,13924,6.04792451,66.8630674,-5.33333328,2.80601267e-08,1.97050598e-09,-3.28181002e-08,-4.48154536e-09,-3.52294158e-08,-1.15708456e-08
0.1,13925,6.04792451,66.8630674,-6.80000009,1.7963556e-08,-2.8811542e-10,-1.97818348e-08,-2.55892796e-09,-3.29622054e-08,-1.01215409e-08
0.1,13926,6.04792451,66.8630674,-7.60000013,1.30598812e-08,-1.22602661e-09,-1.47672479e-08,-1.82480653e-09,-3.09536077e-08,-9.2404715e-09
0.1,13927,6.04792451,66.8630674,-8.3999997,9.04756359e-09,-1.9164903e-09,-1.10527596e-08,-1.2851531e-09,-2.86107049e-08,-8.3549061e-09
0.1,13928,6.04792451,67.771785,-8.3999997,6.64149846e-09,-2.20913998e-09,-1.06009397e-08,-1.20485188e-09,-3.16391535e-08,-8.79436524e-09
0.1,13929,6.04792451,66.8630674,-9.99999978,3.5995289e-09,-2.68691291e-09,-6.28953645e-09,-6.05150097e-10,-2.36537652e-08,-6.70668676e-09
0.1,13930,6.04792451,66.8630674,-9.2000002,5.92924065e-09,-2.38886222e-09,-8.31305158e-09,-8.91563157e-10,-2.61265249e-08,-7.50242624e-09
0.1,13931,6.04792451,66.8630674,-10.999308,1.70704006e-09,-2.87064483e-09,-4.60084415e-09,-3.7141476e-10,-2.07241388e-08,-5.81040771e-09
0.1,13932,6.04792451,66.8630674,-14.7287771,-1.05575459e-09,-2.7609961e-09,-1.47166657e-09,3.33088522e-11,-1.24115243e-08,-3.42576101e-09
0.1,13933,6.04792451,66.8630674,-12.9979244,-4.46348097e-10,-2.89069213e-09,-2.36773912e-09,-7.62877261e-11,-1.5735397e-08,-4.35774794e-09
0.1,13934,6.04792451,-120.410793,101.99862,-4.54139339e-08,-1.08335003e-08,2.4158588e-08,3.15385251e-09,2.81228019e-08,9.57493818e-09
0.1,13935,6.04792451,66.8630674,-17.7267026,-1.27176669e-09,-2.43054687e-09,-5.87257631e-10,1.27886951e-10,-8.46165182e-09,-2.34410469e-09
0.1,13936,6.04792451,67.771785,-17.7267026,-1.93288607e-09,-2.49815102e-09,-4.64331573e-10,1.56083119e-10,-8.60614513e-09,-2.35513831e-09
0.1,13937,6.04792451,66.8630674,-26.4320001,-2.01770309e-10,-1.38276079e-09,1.45463142e-10,1.51175433e-10,-3.26694294e-09,-9.40861167e-10
0.1,13938,6.04792451,66.8630674,-23.5302337,-5.59749247e-10,-1.66680092e-09,6.90377339e-11,1.6139752e-10,-4.37552927e-09,-1.23966593e-09
0.1,13939,6.04792451,66.8630674,-32.235533,3.01295877e-10,-9.68836456e-10,1.64469494e-10,1.2405009e-10,-1.93584215e-09,-5.80976323e-10
0.1,13940,6.04792451,66.8630674,-29.3337665,8.43617398e-11,-1.15362753e-09,1.67419051e-10,1.37545378e-10,-2.49174148e-09,-7.31499084e-10
0.1,13941,6.04792451,-109.125644,13.3347651,-3.33858168e-08,-1.07283593e-09,2.01834052e-08,2.67610867e-09,4.86427743e-09,-1.51680071e-10
0.1,13942,6.04792451,68.680495,71.1580813,1.62403396e-07,2.92170075e-08,-1.43092279e-07,-2.0638355e-08,2.92058622e-09,8.32263369e-10
0.1,13943,6.04792451,66.8630674,-49.646128,7.63050123e-10,-3.62895131e-10,7.06235695e-11,7.21181656e-11,-5.67894731e-10,-2.05291062e-10
0.1,13944,6.04792451,67.771785,-49.646128,7.1267614e-10,-3.60131869e-10,7.77266654e-11,7.46056203e-11,-5.65236913e-10,-2.04139358e-10
0.1,13945,6.04792451,67.771785,-46.7443615,6.85315416e-10,-4.25450036e-10,9.23751076e-11,8.04937644e-11,-6.73833156e-10,-2.34527481e-10
0.1,13946,6.04792451,66.8630674,-46.7443615,7.42873429e-10,-4.27614555e-10,8.38067671e-11,7.75833356e-11,-6.76907752e-10,-2.35902797e-10
0.1,13947,6.04792451,-100.2995,145.449668,2.46465376e-10,-5.28693256e-10,3.34713229e-10,4.37294775e-12,-6.75265677e-10,2.35521602e-11
0.1,13948,6.04792451,66.8630674,-52.5478944,7.72921227e-10,-3.06363185e-10,5.92641561e-11,6.75523179e-11,-4.81543194e-10,-1.80765208e-10
0.1,13949,6.04792451,67.771785,-52.5478944,7.28573868e-10,-3.03168463e-10,6.51493581e-11,6.96607563e-11,-4.79346896e-10,-1.79660412e-10
0.1,13950,6.04792451,66.8630674,-64.1549602,7.61297692e-10,-1.3465945e-10,2.85645067e-11,5.40811215e-11,-2.80464735e-10,-1.20443086e-10
0.1,13951,6.04792451,66.8630674,-61.2531938,7.68071551e-10,-1.7137837e-10,3.44741631e-11,5.69549546e-11,-3.14614057e-10,-1.3132237e-10
0.1,13952,6.04792451,66.8630674,-67.0567229,7.54104557e-10,-1.01134712e-10,2.34940678e-11,5.15236603e-11,-2.5373259e-10,-1.11553398e-10
0.1,13953,6.04792451,66.8630674,-69.9584931,7.4762857e-10,-7.01059211e-11,1.90267056e-11,4.89525954e-11,-2.33491837e-10,-1.04332439e-10
0.1,13954,6.04792451,-129.49793,-4.6666665,-1.2645943e-08,-4.51031035e-09,2.52056349e-08,3.12193138e-09,-8.43532462e-08,-1.88926936e-08
0.1,13955,6.04792451,65.9543574,102.997921,3.71169606e-09,-2.69935252e-09,-1.6738845e-08,-2.14230966e-09,3.47584113e-08,1.04256266e-08
0.1,13956,6.04792451,66.8630674,102.997921,1.97534522e-09,-2.91861002e-09,-1.59205111e-08,-1.99955164e-09,3.98636075e-08,1.11785114e-08
0.1,13957,6.04792451,65.9543574,101.99862,1.11095835e-08,-1.23267363e-09,-2.4798684e-08,-3.32319794e-09,3.69231294e-08,1.1476291e-08
0.1,13958,6.04792451,66.8630674,101.99862,9.76651027e-09,-1.39030254e-09,-2.36448141e-08,-3.1331453e-09,4.38896421e-08,1.25158239e-08
0.1,13959,6.04792451,-131.005481,24.8994287,1.444226e-07,2.48408156e-08,6.43146407e-08,8.0932292e-09,-6.99411806e-10,-3.3611508e-10
0.1,13960,6.04792451,-133.506522,24.8994287,1.53443622e-07,2.65696034e-08,2.83090227e-08,2.42570186e-09,-7.9864515e-10,-3.39243383e-10
0.1,13961,6.04792451,65.9543574,100.999311,1.75533792e-08,2.2294018e-10,-3.28414096e-08,-4.51329152e-09,3.79707963e-08,1.23212791e-08
0.1,13962,6.04792451,65.9543574,100.000001,2.41935201e-08,1.95677674e-09,-4.3436625e-08,-6.09301898e-09,3.79871778e-08,1.28869946e-08
0.1,13963,6.04792451,65.9543574,98.2505158,3.47459626e-08,5.31841993e-09,-6.91464095e-08,-9.95899363e-09,3.70270001e-08,1.32340467e-08
0.1,13964,6.04792451,66.8630674,98.2505158,4.42787567e-08,6.88098423e-09,-6.6192797e-08,-9.55963131e-09,5.13709075e-08,1.54413495e-08
0.1,13965,6.04792451,65.9543574,99.1252586,2.98078113e-08,3.67970721e-09,-5.58477247e-08,-7.9550988e-09,3.76027174e-08,1.31596734e-08
0.1,13966,6.04792451,65.9543574,97.3757803,3.9582261e-08,6.95552549e-09,-8.36582785e-08,-1.21487584e-08,3.63021364e-08,1.31165354e-08
0.1,13967,6.04792451,65.9543574,94.7515592,5.31379847e-08,1.14070229e-08,-1.27506794e-07,-1.8732548e-08,3.3493972e-08,1.17719425e-08
0.1,13968,6.04792451,65.9543574,95.6262946,4.8850616e-08,1.00448281e-08,-1.13622505e-07,-1.66574559e-08,3.45195303e-08,1.23618547e-08
0.1,13969,6.04792451,65.9543574,88.5050744,7.15040542e-08,1.59938551e-08,-1.74349736e-07,-2.56042458e-08,2.02334132e-08,6.13549878e-09
